,how company compares to its peers?,what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",What is the complete profile of the top oil rigs?,what is company general information?,How is the airline industry performing globally?,how does economic profit for in country compare to others?,most profitable insurance company India,Give me a detailed breakup of the income and expenses in South-East Asia,Show me all the oil rigs in the world,What were the premiums earned by the Indian insurance industry in 2020?,How much have premiums grown as compared to claims for India?,Which are the best performing insurance firms in India?,What is the ROE of the Indian market?,What profits were clocked by Cholamandalam in 2020?,What is the premiums market share of the top 5 companies in India?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,Which are the main distribution channels in India?,What are the risks in the motor insurance segment in India?,What is the demand potential of India for insurance?,How do premiums break down by lines of business in India?,What is the share price of Qantas?,How many passengers are carried in ?,Which are the aircrafts manufactured by Boeing?,Kdo je nejv?t�� konkurent ?esk� Poji�?ovny?,Which are the top airports?,How many fatal air accidents till date?,What is the flow of air traffic in North America?,What is the fleet of Airbus?,Airlines profitability Brazil?,Mergers among airline companies?,Which are the most profitable airports?,What has the capacity movement of airline companies been over the years?,Details of the Aban Abraham oil rig?,How big is the airlines industry in China?,How much money did Lloyd's of London make last year?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,Which Lloyd's syndicates owns the maximum number of assets?,List key performance indicators for AXA?,What are the most prominent legal cases?,How does oil industry perform in Brazil?,What is the main driver of growth in automobile industry in Europe?,Which country in Europe is going to grow the most in 2020?,What are the biggest acquisitions in 2020?,How impacted is the airline industry in 2020?,What are the most prominent bankruptcies in 2020?
Give me a detailed breakup of the income and expenses in South-East Asia,0.38851458,0.69225866,0.35958627,0.516297,0.58019036,0.36531505,0.5884456,0.5230828,0.42291376,0.44141385,0.60187525,0.43999738,0.9999996,0.48124865,0.5457206,0.54336506,0.4794091,0.43798068,0.48576975,0.5815515,0.52639055,0.44337437,0.5551226,0.54114825,0.58125514,0.5309051,0.38064966,0.3076489,0.108194366,0.37659395,0.31371826,0.41520056,0.42758417,0.28996596,0.2735538,0.43087026,0.48946133,0.31808,0.49152106,0.5220116,0.47107667,0.39624128,0.3749359,0.41987762,0.45669708,0.49265555,0.5318969,0.49833027,0.47571525,0.48117784
Show me all the oil rigs in the world,0.39119878,0.36966026,0.40925932,0.46895853,0.60130644,0.2721319,0.57431036,0.63071835,0.39633405,0.49283427,0.48347047,0.3633645,0.48124865,1.0000002,0.5049969,0.42959666,0.5069667,0.42260727,0.43724388,0.55786335,0.47024113,0.45782638,0.5854471,0.52023995,0.4768474,0.4869384,0.47992122,0.48309487,-0.022287413,0.44579852,0.427845,0.52109003,0.5367762,0.16257536,0.27614978,0.45147863,0.574875,0.4402804,0.5888547,0.45105278,0.4284313,0.42087126,0.3178066,0.434539,0.61113614,0.5521114,0.5815578,0.52331966,0.5102485,0.48030335
What were the premiums earned by the Indian insurance industry in 2020?,0.4246901,0.49253008,0.4840723,0.6759012,0.69820803,0.70929563,0.71107334,0.5425532,0.46973276,0.5842686,0.56915975,0.6529994,0.5457206,0.5049969,1.0000004,0.70245373,0.73990667,0.62583774,0.6726001,0.7964702,0.6810378,0.48441887,0.78374916,0.56312793,0.73010993,0.5384717,0.5015554,0.47425383,0.0018881538,0.52687484,0.39632723,0.44394264,0.4900952,0.26328894,0.4054616,0.53033876,0.59955156,0.30765033,0.63068485,0.4873577,0.5415476,0.49497738,0.3344053,0.5063809,0.5407427,0.62921524,0.5667323,0.5607359,0.6390711,0.57285774
How much have premiums grown as compared to claims for India?,0.51498896,0.47610435,0.43740234,0.6841259,0.6124443,0.5361112,0.6382943,0.46003067,0.41475633,0.5247944,0.6251187,0.49155876,0.54336506,0.42959666,0.70245373,1.0,0.58455044,0.44372723,0.5647864,0.66059905,0.61050576,0.41660437,0.63696545,0.53112274,0.72254384,0.52941835,0.5502861,0.4021047,0.03791029,0.4261768,0.46288776,0.39695513,0.4384385,0.17616919,0.24466135,0.49348417,0.5689026,0.20233583,0.54988617,0.6335502,0.4909492,0.43243098,0.31410584,0.48366433,0.5679452,0.48179308,0.57647127,0.49234018,0.5684416,0.52971494
Which are the best performing insurance firms in India?,0.41132164,0.45752174,0.4336661,0.63463885,0.7227652,0.50651366,0.62218297,0.6091251,0.5002091,0.66644365,0.5646815,0.603471,0.4794091,0.5069667,0.73990667,0.58455044,1.0000002,0.5802634,0.6089565,0.7388572,0.693925,0.62817514,0.73539144,0.55732244,0.65096045,0.5183949,0.5506282,0.56610155,0.058389872,0.73588806,0.40346125,0.46225387,0.54138196,0.22098988,0.41997558,0.7291303,0.575527,0.24729536,0.6488806,0.5127868,0.49049518,0.5701645,0.42742646,0.63722837,0.6029653,0.6120044,0.6806804,0.66572654,0.5849854,0.67544407
What is the ROE of the Indian market?,0.41869068,0.5072422,0.36746502,0.573571,0.54763,0.3182332,0.5690823,0.6170779,0.52788657,0.55751723,0.5246629,0.42264557,0.43798068,0.42260727,0.62583774,0.44372723,0.5802634,1.0000001,0.5793227,0.63246894,0.50780165,0.52576125,0.5846027,0.6552133,0.5091191,0.6593705,0.4286439,0.5043901,0.047994543,0.5959353,0.30840656,0.52566147,0.64533347,0.26911336,0.28271192,0.58325106,0.54996437,0.3074418,0.56870764,0.41612956,0.55373496,0.45703986,0.35781577,0.5158338,0.50753945,0.6113192,0.60620916,0.5740768,0.5421244,0.49836951
What profits were clocked by Cholamandalam in 2020?,0.4101115,0.43480864,0.41697788,0.5256417,0.6170991,0.428337,0.6895859,0.44198728,0.44650483,0.48371872,0.5465116,0.50681764,0.48576975,0.43724388,0.6726001,0.5647864,0.6089565,0.5793227,1.0000004,0.6488754,0.5426943,0.5022927,0.62079114,0.5436123,0.61150676,0.5271762,0.51430726,0.5423634,0.070465654,0.5017896,0.37459332,0.43453625,0.4662278,0.34892237,0.36101237,0.56427985,0.56886643,0.34598324,0.52709633,0.4756847,0.5118643,0.4910132,0.32558876,0.46658573,0.43232384,0.5597794,0.5333832,0.59229624,0.50919306,0.52989423
What is the premiums market share of the top 5 companies in India?,0.5512776,0.5646434,0.6070386,0.7431433,0.72192365,0.6352048,0.7165629,0.6594605,0.6190469,0.62127244,0.6289147,0.6199233,0.5815515,0.55786335,0.7964702,0.66059905,0.7388572,0.63246894,0.6488754,0.99999946,0.69976455,0.5958581,0.74181217,0.6508287,0.7182684,0.7779699,0.46657044,0.48134607,0.04585377,0.6120465,0.3627518,0.5348369,0.5824141,0.33348703,0.40223664,0.61382884,0.65258133,0.32726246,0.6944582,0.5022042,0.56816614,0.5563763,0.40139267,0.5537476,0.5953781,0.7078795,0.65987253,0.6768514,0.6420122,0.6195368
How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.4518829,0.47541913,0.4664029,0.71651334,0.63050634,0.52268404,0.6560309,0.5570501,0.50753796,0.65573794,0.6932522,0.57311875,0.52639055,0.47024113,0.6810378,0.61050576,0.693925,0.50780165,0.5426943,0.69976455,0.99999964,0.50029963,0.7023451,0.62840563,0.6618128,0.53219974,0.5064992,0.43767357,0.09606695,0.49745265,0.47149688,0.50835705,0.48953944,0.30635467,0.3851218,0.54132843,0.5892843,0.30127054,0.65878177,0.55214024,0.49635288,0.4181804,0.4291139,0.5074807,0.700592,0.6621014,0.64422035,0.57061416,0.6574711,0.5647136
Which are the main distribution channels in India?,0.35519102,0.45534897,0.4488795,0.552162,0.614785,0.2400684,0.55820084,0.59110713,0.5075717,0.46534988,0.4760473,0.38619167,0.44337437,0.45782638,0.48441887,0.41660437,0.62817514,0.52576125,0.5022927,0.5958581,0.50029963,1.0000002,0.59834266,0.6034092,0.5116103,0.55033493,0.52212447,0.5854617,0.038642354,0.7141692,0.3298797,0.61446744,0.5301425,0.19771321,0.23758417,0.6802551,0.5587997,0.25394005,0.5660502,0.42221314,0.43707857,0.58477485,0.3802887,0.6270093,0.44476116,0.62059,0.6903305,0.6569119,0.50814617,0.6008453
What are the risks in the motor insurance segment in India?,0.43634948,0.56853575,0.5112061,0.6953165,0.72821903,0.5595932,0.6649107,0.62130994,0.5497469,0.5648791,0.5776174,0.5699742,0.5551226,0.5854471,0.78374916,0.63696545,0.73539144,0.5846027,0.62079114,0.74181217,0.7023451,0.59834266,1.0000005,0.6469598,0.69199806,0.5581367,0.57190496,0.57003266,0.040733706,0.5811628,0.48352435,0.5596454,0.62416744,0.20534562,0.3361043,0.60349,0.61975163,0.3030701,0.620786,0.47496867,0.56659985,0.5181518,0.40723705,0.5881876,0.5487597,0.7248626,0.6576699,0.6714763,0.6299965,0.6457478
What is the demand potential of India for insurance?,0.43308038,0.5159299,0.48771515,0.63441086,0.64764965,0.27958366,0.6499575,0.6743089,0.58438337,0.5797816,0.6241733,0.4903178,0.54114825,0.52023995,0.56312793,0.53112274,0.55732244,0.6552133,0.5436123,0.6508287,0.62840563,0.6034092,0.6469598,0.9999997,0.5077664,0.6777523,0.4822198,0.5444216,0.042793173,0.5942131,0.38055283,0.5915589,0.65184027,0.2379234,0.26213774,0.60150045,0.68311995,0.31446704,0.6481028,0.5152686,0.49766007,0.50721115,0.42942128,0.5953306,0.5855982,0.69347405,0.7208017,0.644614,0.6050592,0.56753916
How do premiums break down by lines of business in India?,0.42819944,0.48778298,0.42522544,0.6705446,0.61813074,0.5583186,0.69440275,0.508469,0.42095178,0.5586923,0.6125671,0.506449,0.58125514,0.4768474,0.73010993,0.72254384,0.65096045,0.5091191,0.61150676,0.7182684,0.6618128,0.5116103,0.69199806,0.5077664,1.0000001,0.53160304,0.5299022,0.42393404,0.046729263,0.48990273,0.47127643,0.5047387,0.49102253,0.2642508,0.2826873,0.51965654,0.5683841,0.20100467,0.61517274,0.60304326,0.44820508,0.46398816,0.32367846,0.4444317,0.61295056,0.5502396,0.5675331,0.5432415,0.61170936,0.5336926
What is the share price of Qantas?,0.5338269,0.57467616,0.46612826,0.6153031,0.5729209,0.32658628,0.60144794,0.63434756,0.61535937,0.5444684,0.6053829,0.35870287,0.5309051,0.4869384,0.5384717,0.52941835,0.5183949,0.6593705,0.5271762,0.7779699,0.53219974,0.55033493,0.5581367,0.6777523,0.53160304,0.9999999,0.4199474,0.48399606,0.04995597,0.5435601,0.30708146,0.5478843,0.6369637,0.22497538,0.24261644,0.56921095,0.5751087,0.31336758,0.58246946,0.4990363,0.5251742,0.49735326,0.3386687,0.5511999,0.55481493,0.59858453,0.60942376,0.61359733,0.54958016,0.523006
How many passengers are carried in ?,0.39475334,0.36902463,0.30468446,0.5097492,0.5840608,0.20551836,0.5907906,0.464251,0.34413037,0.56610084,0.49291286,0.30717912,0.38064966,0.47992122,0.5015554,0.5502861,0.5506282,0.4286439,0.51430726,0.46657044,0.5064992,0.52212447,0.57190496,0.4822198,0.5299022,0.4199474,1.0000002,0.5932136,0.032452516,0.55499685,0.58418566,0.54679835,0.5193629,0.256024,0.3757827,0.54665995,0.5963161,0.23446189,0.6192637,0.5341431,0.38655016,0.4291059,0.27355286,0.5528892,0.507198,0.4634896,0.559925,0.5206154,0.591598,0.5794716
Which are the aircrafts manufactured by Boeing?,0.28569987,0.3680674,0.32368493,0.44097224,0.56411314,0.19828373,0.56677043,0.5064271,0.3986399,0.48041633,0.3814661,0.32550925,0.3076489,0.48309487,0.47425383,0.4021047,0.56610155,0.5043901,0.5423634,0.48134607,0.43767357,0.5854617,0.57003266,0.5444216,0.42393404,0.48399606,0.5932136,1.0,0.013050415,0.65767264,0.3993422,0.47696555,0.6184442,0.23712467,0.25880247,0.6342201,0.5428585,0.24744551,0.52397436,0.33809727,0.4083153,0.49398276,0.26222196,0.54269826,0.3985151,0.48561615,0.56979024,0.5524397,0.49426693,0.543968
Kdo je nejv?t�� konkurent ?esk� Poji�?ovny?,0.08853128,0.048135944,0.025512263,0.07641027,0.057136226,0.0113024805,0.056661755,0.025009472,0.046526384,0.06752873,0.082484506,-0.012411274,0.108194366,-0.022287413,0.0018881538,0.03791029,0.058389872,0.047994543,0.070465654,0.04585377,0.09606695,0.038642354,0.040733706,0.042793173,0.046729263,0.04995597,0.032452516,0.013050415,1.0,0.05432501,0.13228066,0.05447468,0.046164557,0.07996591,0.026952578,0.024730004,0.05341869,0.070936814,0.05560815,0.06253297,0.1348734,0.0020061848,0.03594359,0.017695723,0.07660571,0.07349892,0.054236453,0.0572654,0.0041062026,0.053660322
Which are the top airports?,0.2660889,0.4211403,0.33999392,0.49751455,0.604602,0.18570542,0.52187514,0.7107826,0.45470765,0.4959106,0.44235194,0.3198513,0.37659395,0.44579852,0.52687484,0.4261768,0.73588806,0.5959353,0.5017896,0.6120465,0.49745265,0.7141692,0.5811628,0.5942131,0.48990273,0.5435601,0.55499685,0.65767264,0.05432501,1.0000001,0.3265321,0.49557897,0.5886985,0.11148753,0.27732548,0.8133469,0.48647958,0.21007513,0.5583106,0.4707279,0.4687533,0.5799241,0.40771928,0.736809,0.4608155,0.5369262,0.71517617,0.6803353,0.46708304,0.6960301
How many fatal air accidents till date?,0.26385644,0.2719816,0.23262508,0.4263028,0.43007407,0.24800262,0.45380864,0.35709742,0.22689536,0.4456953,0.38561985,0.31765124,0.31371826,0.427845,0.39632723,0.46288776,0.40346125,0.30840656,0.37459332,0.3627518,0.47149688,0.3298797,0.48352435,0.38055283,0.47127643,0.30708146,0.58418566,0.3993422,0.13228066,0.3265321,1.0000001,0.55419743,0.3806968,0.13462488,0.2961747,0.36570346,0.4392777,0.27569658,0.49613068,0.4407756,0.37652037,0.30563954,0.17745493,0.37765613,0.48683703,0.43918937,0.3968838,0.38581315,0.4782148,0.46051848
What is the flow of air traffic in North America?,0.38619772,0.4337031,0.39338064,0.52471566,0.5249978,0.21145378,0.5334005,0.585926,0.46538913,0.5396349,0.46064934,0.2708439,0.41520056,0.52109003,0.44394264,0.39695513,0.46225387,0.52566147,0.43453625,0.5348369,0.50835705,0.61446744,0.5596454,0.5915589,0.5047387,0.5478843,0.54679835,0.47696555,0.05447468,0.49557897,0.55419743,1.0000002,0.5933354,0.2374516,0.2852356,0.473881,0.62324405,0.27690864,0.5738637,0.44291005,0.47133374,0.40469688,0.31350893,0.4970806,0.5228339,0.6212393,0.6115749,0.5363536,0.5682658,0.49906027
What is the fleet of Airbus?,0.4334047,0.50518847,0.3314508,0.5437419,0.5373374,0.23275246,0.54301786,0.65243506,0.58255976,0.62488186,0.4636127,0.34858772,0.42758417,0.5367762,0.4900952,0.4384385,0.54138196,0.64533347,0.4662278,0.5824141,0.48953944,0.5301425,0.62416744,0.65184027,0.49102253,0.6369637,0.5193629,0.6184442,0.046164557,0.5886985,0.3806968,0.5933354,1.0000001,0.2446269,0.27089345,0.5952507,0.64208716,0.3115592,0.63691014,0.46487537,0.50509936,0.5152677,0.32942054,0.566807,0.5254937,0.63071185,0.6536054,0.602638,0.6069937,0.54289484
Airlines profitability Brazil?,0.2426524,0.15945926,0.23633464,0.3109211,0.2729372,0.33324996,0.4883888,0.187388,0.24501981,0.46817654,0.29998133,0.42344078,0.28996596,0.16257536,0.26328894,0.17616919,0.22098988,0.26911336,0.34892237,0.33348703,0.30635467,0.19771321,0.20534562,0.2379234,0.2642508,0.22497538,0.256024,0.23712467,0.07996591,0.11148753,0.13462488,0.2374516,0.2446269,0.99999994,0.47880596,0.27233353,0.4350401,0.19242008,0.44736668,0.11287819,0.1823129,0.14470665,0.22509913,0.1008278,0.25207958,0.3124452,0.17136821,0.24125838,0.46470332,0.20396844
Mergers among airline companies?,0.21953207,0.18599418,0.23613304,0.29420775,0.3316457,0.3123574,0.46843064,0.29127228,0.24821135,0.5812761,0.28322992,0.419333,0.2735538,0.27614978,0.4054616,0.24466135,0.41997558,0.28271192,0.36101237,0.40223664,0.3851218,0.23758417,0.3361043,0.26213774,0.2826873,0.24261644,0.3757827,0.25880247,0.026952578,0.27732548,0.2961747,0.2852356,0.27089345,0.47880596,1.0000007,0.34187442,0.4797482,0.28272733,0.5593871,0.17815582,0.21564656,0.2769144,0.26327646,0.2829596,0.33585274,0.36905247,0.31285325,0.3640392,0.55008584,0.41238025
Which are the most profitable airports?,0.36640367,0.45229858,0.38773388,0.5406308,0.6446636,0.2776948,0.6090732,0.59401876,0.5001401,0.5572119,0.5384065,0.6153186,0.43087026,0.45147863,0.53033876,0.49348417,0.7291303,0.58325106,0.56427985,0.61382884,0.54132843,0.6802551,0.60349,0.60150045,0.51965654,0.56921095,0.54665995,0.6342201,0.024730004,0.8133469,0.36570346,0.473881,0.5952507,0.27233353,0.34187442,1.0000002,0.5260717,0.22811043,0.5820651,0.4789075,0.43958327,0.5950991,0.3803723,0.7403634,0.4879703,0.58816236,0.76257795,0.7032983,0.5436646,0.7388256
What has the capacity movement of airline companies been over the years?,0.5139464,0.4740442,0.43059722,0.5802747,0.6888096,0.3042996,0.7928916,0.62377536,0.59530705,0.73265517,0.56699175,0.47796324,0.48946133,0.574875,0.59955156,0.5689026,0.575527,0.54996437,0.56886643,0.65258133,0.5892843,0.5587997,0.61975163,0.68311995,0.5683841,0.5751087,0.5963161,0.5428585,0.05341869,0.48647958,0.4392777,0.62324405,0.64208716,0.4350401,0.4797482,0.5260717,1.0000001,0.32259366,0.7717355,0.49543685,0.5021738,0.5327214,0.385572,0.5529573,0.5692807,0.6708628,0.6276765,0.6070682,0.7585096,0.59139204
Details of the Aban Abraham oil rig?,0.22801296,0.35803777,0.1721283,0.25884366,0.30783525,0.17296064,0.34412578,0.4453699,0.25230896,0.31314433,0.256779,0.26113126,0.31808,0.4402804,0.30765033,0.20233583,0.24729536,0.3074418,0.34598324,0.32726246,0.30127054,0.25394005,0.3030701,0.31446704,0.20100467,0.31336758,0.23446189,0.24744551,0.070936814,0.21007513,0.27569658,0.27690864,0.3115592,0.19242008,0.28272733,0.22811043,0.32259366,0.99999994,0.34127483,0.24646081,0.3427926,0.22337043,0.18354833,0.2401696,0.39872578,0.30701074,0.24189241,0.26390827,0.35548097,0.22637466
How big is the airlines industry in China?,0.49912968,0.4320428,0.39931822,0.6227206,0.66479236,0.34187788,0.79550004,0.6454394,0.54896575,0.85391843,0.6269063,0.48984033,0.49152106,0.5888547,0.63068485,0.54988617,0.6488806,0.56870764,0.52709633,0.6944582,0.65878177,0.5660502,0.620786,0.6481028,0.61517274,0.58246946,0.6192637,0.52397436,0.05560815,0.5583106,0.49613068,0.5738637,0.63691014,0.44736668,0.5593871,0.5820651,0.7717355,0.34127483,0.99999994,0.5886392,0.44737095,0.4573523,0.36842203,0.5632994,0.74291205,0.70511323,0.6723896,0.65495974,0.8676576,0.62657213
